Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-09-11,Dredd,2012,https://boxd.it/4PFoLD,,,,2023-09-10
2023-09-24,I Saw the Devil,2010,https://boxd.it/4TgQ65,4.5,Yes,,2023-09-24
2023-10-02,The Proposal,2009,https://boxd.it/4VNckb,,,,2023-09-30
2023-10-02,The Rat Catcher,2023,https://boxd.it/4VF1LJ,,,,2023-10-01
2023-10-02,The Wonderful Story of Henry Sugar,2023,https://boxd.it/4VF1Wd,,,,2023-10-01
2023-10-04,Poison,2023,https://boxd.it/4Wchex,,,,2023-10-03
2023-10-07,Saw,2004,https://boxd.it/4XkX8h,,Yes,w/ meagan,2023-10-07
2023-10-08,Saw II,2005,https://boxd.it/4XHBZ5,,,w/ meagan,2023-10-08
2023-10-08,Saw III,2006,https://boxd.it/4XHEgn,,,w/ meagan,2023-10-08
2023-10-15,Mission: Impossible – Dead Reckoning Part One,2023,https://boxd.it/504MXX,,,,2023-10-15
2023-10-16,Saw IV,2007,https://boxd.it/50ss4r,,,w/ meagan,2023-10-16
2023-10-16,Monster Inside: America's Most Extreme Haunted House,2023,https://boxd.it/50ssdX,,,w/ meagan,2023-10-16
2023-10-19,Mission: Impossible – Rogue Nation,2015,https://boxd.it/517uXZ,,Yes,w/ meagan,2023-10-18
2023-10-22,Saw V,2008,https://boxd.it/52hJkn,,,w/ meagan,2023-10-22
2023-10-22,Saw VI,2009,https://boxd.it/52hP17,,,w/ meagan,2023-10-22
2023-10-27,Saw 3D,2010,https://boxd.it/53Slo9,,,w/ meagan,2023-10-27
2023-10-30,Five Nights at Freddy's,2023,https://boxd.it/554F63,,,w/ meagan,2023-10-30
2023-11-01,Zombie for Sale,2019,https://boxd.it/55MXSd,,,w/ meagan,2023-11-01
2023-11-05,High and Low,1963,https://boxd.it/56Xybf,,,,2023-11-04
2023-11-07,Killers of the Flower Moon,2023,https://boxd.it/57QsGr,,,"in theater, w/ meagan",2023-11-07
2023-11-13,Fool's Paradise,2023,https://boxd.it/59vddb,,,w/ meagan,2023-11-12
2023-11-19,No Hard Feelings,2023,https://boxd.it/5bwLub,,,w/ meagan,2023-11-19
2023-11-20,Scott Pilgrim Takes Off,2023,https://boxd.it/5bTteZ,,,,2023-11-19
2023-11-20,Triangle of Sadness,2022,https://boxd.it/5bVTHH,,,,2023-11-20
2023-11-21,The Umbrellas of Cherbourg,1964,https://boxd.it/5c1DAH,,,,2023-11-20
2023-11-22,News from Home,1976,https://boxd.it/5cxCOn,,,,2023-11-21
2023-11-23,Perfect Blue,1997,https://boxd.it/5cJIlP,5,,,2023-11-22
2023-11-23,After Yang,2021,https://boxd.it/5cPOEv,,,w/ lukas,2023-11-22
2023-11-24,Paddington,2014,https://boxd.it/5d8ghF,5,Yes,w/ lukas,2023-11-23
2023-11-24,Mommy,2014,https://boxd.it/5dafax,,,,2023-11-24
2023-11-25,Incendies,2010,https://boxd.it/5duPMx,,,,2023-11-24
2023-11-26,Nimona,2023,https://boxd.it/5dJUsd,,,on phone,2023-11-25
2023-11-27,Antiporno,2016,https://boxd.it/5ep0UJ,,,,2023-11-27
2023-12-03,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/5g4ZuX,,,"in theater, w/ meagan",2023-12-02
2023-12-06,Primal,2019,https://boxd.it/5hlwUZ,,,,2023-12-06
2023-12-10,Masterminds,2016,https://boxd.it/5isrHf,,,w/ meagan,2023-12-09
2023-12-12,Red Rocket,2021,https://boxd.it/5jnNjt,,,,2023-12-11
2023-12-12,Lux Æterna,2019,https://boxd.it/5js3Hz,,,,2023-12-12
2023-12-16,Chicken Run: Dawn of the Nugget,2023,https://boxd.it/5kJBrX,,,,2023-12-15
2023-12-16,The Super Mario Bros. Movie,2023,https://boxd.it/5kJBDp,,,,2023-12-15
2023-12-17,Possession,1981,https://boxd.it/5l5PiJ,,,,2023-12-16
2023-12-17,The Cranes Are Flying,1957,https://boxd.it/5l8RwJ,,,,2023-12-16
2023-12-18,12 Angry Men,1957,https://boxd.it/5lATvz,,,,2023-12-17
2023-12-19,Sexy Beast,2000,https://boxd.it/5lYfI7,,,,2023-12-19
2023-12-20,The Boy and the Heron,2023,https://boxd.it/5mjbcD,,,"w/ lukas, in theater",2023-12-19
2023-12-21,Black Swan,2010,https://boxd.it/5mHOg3,,,,2023-12-20
